INFO  - 2014-11-07 15:58:29.871; org.apache.solr.servlet.SolrDispatchFilter; SolrDispatchFilter.init()
INFO  - 2014-11-07 15:58:29.882; org.apache.solr.core.SolrResourceLoader; No /solr/home in JNDI
INFO  - 2014-11-07 15:58:29.882; org.apache.solr.core.SolrResourceLoader; using system property solr.solr.home: /apps/biodiv/solr
INFO  - 2014-11-07 15:58:29.884; org.apache.solr.core.SolrResourceLoader; new SolrResourceLoader for directory: '/apps/biodiv/solr/'
INFO  - 2014-11-07 15:58:30.078; org.apache.solr.core.ConfigSolr; Loading container configuration from /apps/biodiv/solr/solr.xml
INFO  - 2014-11-07 15:58:30.161; org.apache.solr.core.CoreContainer; New CoreContainer 1700142326
INFO  - 2014-11-07 15:58:30.162; org.apache.solr.core.CoreContainer; Loading cores into CoreContainer [instanceDir=/apps/biodiv/solr/]
INFO  - 2014-11-07 15:58:30.172; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting socketTimeout to: 0
INFO  - 2014-11-07 15:58:30.172; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting urlScheme to: null
INFO  - 2014-11-07 15:58:30.172; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting connTimeout to: 0
INFO  - 2014-11-07 15:58:30.172; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting maxConnectionsPerHost to: 20
INFO  - 2014-11-07 15:58:30.172; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting corePoolSize to: 0
INFO  - 2014-11-07 15:58:30.172; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting maximumPoolSize to: 2147483647
INFO  - 2014-11-07 15:58:30.173; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting maxThreadIdleTime to: 5
INFO  - 2014-11-07 15:58:30.173; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting sizeOfQueue to: -1
INFO  - 2014-11-07 15:58:30.173; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting fairnessPolicy to: false
INFO  - 2014-11-07 15:58:30.203; org.apache.solr.update.UpdateShardHandler; Creating UpdateShardHandler HTTP client with params: socketTimeout=0&connTimeout=0&retry=false
INFO  - 2014-11-07 15:58:30.205; org.apache.solr.logging.LogWatcher; SLF4J impl is org.slf4j.impl.Log4jLoggerFactory
INFO  - 2014-11-07 15:58:30.206; org.apache.solr.logging.LogWatcher; Registering Log Listener [Log4j (org.slf4j.impl.Log4jLoggerFactory)]
INFO  - 2014-11-07 15:58:30.207; org.apache.solr.core.CoreContainer; Host Name: null
INFO  - 2014-11-07 15:58:30.253; org.apache.solr.core.SolrResourceLoader; new SolrResourceLoader for directory: '/apps/biodiv/solr/wikwio/'
INFO  - 2014-11-07 15:58:30.253; org.apache.solr.core.SolrResourceLoader; new SolrResourceLoader for directory: '/apps/biodiv/solr/biodiv/'
INFO  - 2014-11-07 15:58:30.340; org.apache.solr.core.SolrConfig; Adding specified lib dirs to ClassLoader
WARN  - 2014-11-07 15:58:30.341; org.apache.solr.core.SolrResourceLoader; Can't find (or read) directory to add to classloader: ../../../contrib/extraction/lib (resolved as: /apps/biodiv/solr/wikwio/../../../contrib/extraction/lib).
WARN  - 2014-11-07 15:58:30.341; org.apache.solr.core.SolrResourceLoader; Can't find (or read) directory to add to classloader: ../../../dist/ (resolved as: /apps/biodiv/solr/wikwio/../../../dist).
WARN  - 2014-11-07 15:58:30.341; org.apache.solr.core.SolrResourceLoader; Can't find (or read) directory to add to classloader: ../../../contrib/clustering/lib/ (resolved as: /apps/biodiv/solr/wikwio/../../../contrib/clustering/lib).
WARN  - 2014-11-07 15:58:30.341; org.apache.solr.core.SolrResourceLoader; Can't find (or read) directory to add to classloader: ../../../dist/ (resolved as: /apps/biodiv/solr/wikwio/../../../dist).
WARN  - 2014-11-07 15:58:30.341; org.apache.solr.core.SolrResourceLoader; Can't find (or read) directory to add to classloader: ../../../contrib/langid/lib/ (resolved as: /apps/biodiv/solr/wikwio/../../../contrib/langid/lib).
WARN  - 2014-11-07 15:58:30.342; org.apache.solr.core.SolrResourceLoader; Can't find (or read) directory to add to classloader: ../../../dist/ (resolved as: /apps/biodiv/solr/wikwio/../../../dist).
WARN  - 2014-11-07 15:58:30.342; org.apache.solr.core.SolrResourceLoader; Can't find (or read) directory to add to classloader: ../../../contrib/velocity/lib (resolved as: /apps/biodiv/solr/wikwio/../../../contrib/velocity/lib).
WARN  - 2014-11-07 15:58:30.342; org.apache.solr.core.SolrResourceLoader; Can't find (or read) directory to add to classloader: ../../../dist/ (resolved as: /apps/biodiv/solr/wikwio/../../../dist).
INFO  - 2014-11-07 15:58:30.347; org.apache.solr.core.SolrConfig; Adding specified lib dirs to ClassLoader
WARN  - 2014-11-07 15:58:30.347; org.apache.solr.core.SolrResourceLoader; Can't find (or read) directory to add to classloader: ../../../contrib/extraction/lib (resolved as: /apps/biodiv/solr/biodiv/../../../contrib/extraction/lib).
WARN  - 2014-11-07 15:58:30.348; org.apache.solr.core.SolrResourceLoader; Can't find (or read) directory to add to classloader: ../../../dist/ (resolved as: /apps/biodiv/solr/biodiv/../../../dist).
WARN  - 2014-11-07 15:58:30.348; org.apache.solr.core.SolrResourceLoader; Can't find (or read) directory to add to classloader: ../../../contrib/clustering/lib/ (resolved as: /apps/biodiv/solr/biodiv/../../../contrib/clustering/lib).
